number,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,batch,precision,recall,mAP50,mAP50_95
2,3.150855789448298e-05,0.010178067024369573,0.7372215843637927,0.0009523433232890372,2.4649240256972127,0.1380150604222602,0.10029593828198625,0.6897712207371582,8,0.65654,0.35849,0.42275,0.19816
11,8.469343956128166e-05,0.014447912406752549,0.6180251437500147,0.0002650591829761345,4.2605358396067015,0.022104217490556577,0.11020154528201653,0.6435648906703235,16,0.63615,0.41006,0.43158,0.20643
18,5.3333046673980394e-05,0.012861238009540176,0.6332240113590237,0.00031391780631565534,0.624321758712128,0.26742057770168093,0.08394144090923414,3.161724166163806,8,0.64598,0.39371,0.42929,0.19016
42,0.00012692202883339486,0.031762818846473605,0.7926342988646271,0.0005265997901124852,3.804940130729207,0.3781838453872952,0.15830383256504982,1.1609415002784078,4,0.65398,0.38038,0.37535,0.16388
45,2.7154777513788315e-05,0.02262294744483944,0.8449316208838984,0.0002423058577991304,2.3917650275470774,0.6102849961168946,0.08842951431520539,3.1889296198886306,8,0.65148,0.38113,0.38758,0.16786
46,7.17706189889515e-05,0.01674587410565021,0.7610413715178738,0.00040141964339494987,0.34945470312949756,0.1906344688458421,0.02057548654363447,2.322789355450544,16,0.71308,0.36604,0.40515,0.19555
